,class,text
4435,7,@fredonair OMG seriously trying to justify being a douchebag? No! You're illegally using a handicap placard I hope you get caught every single time you do it a $250 ticket #waitingbythephone #douchebag
4437,7,He is so fucking embarrassing &amp; a fucking asshole #TrumpIsATraitor #TrumpsAnInternationalDisgrace #JohnMcCainDay #ImpeachTrumpNow #ImpeachmentInquiryNow https://t.co/wLJTapb1Ba
4439,7,"@MarchingCamell You are as #douchebag and wicked seed of Tigray as that of illegitmate citezen #Isias, who has extreme hate towards Eritreans. We now know the dazed and confused slaves are in the same beds with all Previous Ethiopian emperiord who wanted to crush Eritreans for good. #Scumbag."
4441,7,"@hardball   It is the duty of the President to preserve, protect and defend the #Constitution of the U.S. #TrumpIsATraitor and yet morons in the Mid West (Ohio &amp;Iowa) continue to support #TraitorTrump. These states deserve to Rust. #2020Election https://t.co/pQqlQha22O"
4442,7,A rapist lecturing on how to be a good dad. Mmkay. 🖕🏼  #FuckYouBillCosby #BillCosby #Rapist #POS https://t.co/cyvve83Q3r
4444,7,A trump level of stupid!  #TrumpIsAMoron  #TrumpIsATraitor https://t.co/Q4GAOMc3YG
4448,1,"@BorisJohnson @BorisJohnson If we want to unite our country and our society, we should actually ask you to F-off our of it #dickhead ."
4450,1,Trump is just a straight up #douchebag #liar. He needs to save the #bullshit lies for his wives and mistresses and Not the American people.     Mexico Agreed To Deploy National Guard Months Before Deal With Trump: Report  https://t.co/e3GzpLEXLB
4451,1,Hypocrit @ICC .. #DhoniKeepsTheGlove #DhoniKeepTheGloves #BCCI https://t.co/5ccC6t6F6X
4452,7,@AFC_Islington74 And they said Wenger lived in the past and only survived on his past glory... #Dickhead and #Cunts   You'd think during the closed season there would be more time for them to have sex rather then bash ozil/Wenger.
4453,1,"@ICC Are you guys bunch of j****s shameless creatures.Happily tweeting everything but nothing about abandoned matches!! ,And do you have any plans for coming matches? #ShameOnICC #ICCShouldApologize"
4454,13,#India #AntiMuslim Hate speech https://t.co/GFJYe2nKFW
4455,7,#ENGvWI One question. How come there has not been a drop of rain during england's matches? All day sunny and bright. #ShameOnICC and #ShameOnECB . Scheduled all england matches in accordance to the weather and neglected all other matches. And ecb can't get ground covers. FUCKOFF
4456,7,Walking on Road    A random uncle to me: Oye betichod    Me: Haan Sasur ji.😁😁😁    #Kick2 #SaahoTeaserAnnouncement #Saaho #SaahoTrailer #YuvrajSingh #SaahoTrailerAnnouncementToday #Dhoni #DhoniKeepTheGlove #DhoniAtCWC19 #DHONIKESAATHDESH #dhonisix #DhoniKeepsTheGlove #SaahoStrom
4464,1,@realDonaldTrump The Fraud is occupying the Oval Office. #fraud #crook #swindler #TaxEvasion #MoneyLaundering #traitor #liar #RAPIST #childmolester #Cheater #Grifter #pervert #sexualdeviant
4469,13,Because tRump and his ilk have MADE IT CLEAR  PEOPLE FROM OTHER COUNTRIES  ARE NOT HUMAN.  #fuckTrump  #ThisIsNotOkay https://t.co/tMFDPqp0q3
4471,1,"@ICC Early morning Farting exercise, organised by ICC for there loyal dogs 🐕   #DhoniKeepsTheGlove"
4473,1,#white #Rapist - I can get away with #rape starting five #austinwilkerson #brockturner #nicholasfifield #davidbecker #johnenochs https://t.co/zgKIhXGDFA
4474,13,#DhoniKeepsTheGlove @ICC please stop using undue pressure on Indian cricket team. Remember most of your earnings come from @BCCI also take whatever fine you want to but dhoni will keep the cup.
4475,7,"For all the assholes who don’t understand what fascism is, it’s literally on our doorstep, happening now at a southern border near you. #Fucktrump #ImpeachmentNOW #ImpeachTheMFer  #ImpeachTrump https://t.co/vVv5cNGd5F"
4476,7,@POTUS I wish your mother swallowed you! Fuck you and fuck your birthday bitch 🖕🖕🖕🖕🖕🖕🖕 #FuckTrump #FuckHisBday #FuckHisHatefulSpirit
4477,7,"@realDonaldTrump They will never say that that would be a lie, their job is to report the truth. That's your job also, but you don't know how. You say the media has been against you since day 1, they report the truth &amp; you have quite a history!! Pull your big boy pants up, &amp; except it!! #DickHead"
4478,7,Someone is dying for daddy's attention.  #dickhead https://t.co/k4hsFbXF3i
4479,13,"So @MamataOfficial has time to go @abpanandatv to talk gibberish with Suman, FOR AN HOUR,     but DONT HAVE A MINUTE to come to NRS Hospital and talk to junior doctors.     Slow claps.    #DoctorsUnderOppresion #DoctorsStrike #DoctorsFightBack #SavetheDoctors"
4480,7,"You could meme the heck out of this, but also it sits untouched pretty well too. #suckybaby #douchebag https://t.co/NB58wqgpy3"
4481,13,@toadmeister @rcolvile @BorisJohnson #BorisJohnson is not a liberal conservative! He’s whatever will give him a pay rise or more power along a fickle Tory continuum #ToryLeadeshipContest #BorisJohnsonShouldNotBePM
4482,1,@realDonaldTrump is a dirtbag POS and an embarrassment to humankind #FuckTrump #maga #RacistTwat #Trump #TrumpsWorseThanNixon https://t.co/lyvSFCmtpP
4483,13,Boris Johnson on Gordon Brown becoming Prime Minister     This mans HYPOCRISY is unbelievable     #borisjohnsonisaclown #BorisJohnsonShouldNotBePM   #FBPE https://t.co/PDx83vd7uz
4484,13,The English love a buffoon but the Boris Johnson joke went tragically wrong | News | The Times https://t.co/AIxx2V5FtC  #BorisJohnsonShouldNotBePM
4485,1,@RudyGiuliani Rudy.. you ARE Idiocy..   #ImpeachTrumpNow   #TrumpIsATraitor   #GuiltyAsSin  #WhoreMonger  #LiarInChief   #DerangedDonald   #BillionDollarLoser   #LowIQTrump  #DraftDodger   #PresidentBoneSpurs  #AryanAgentOrange  #NervousDonald
4486,1,What pleasure do you get by killing a #livingbeing? I dont think I am wrong in arguing would be the same feeling for a #murderer #convict https://t.co/UU8udboOAd
4487,13,"Britain: (While colonizing the world) If We Don't Leave Your Country Today, We Have Reserve Day's !      Britain: (While hosting the Cricket World Cup) We Have Rain Day's ! 😡    इन अंग्रेज़ो ने आज भी परेशान कर रखा हैं! 😒  #INDvsNZ #ENGvWI #cwc19  #ShameOnICC"
4488,13,"I often hear Tories muse, a #borisjohnson premiership “will cheer everyone up”. When your party looks like it is going to hell in a handcart, they reckon you might as well hurtle towards the inferno with a smile on your face  #BorisJohnsonShouldNotBePM https://t.co/h1ubnKw6OU"
4489,1,@atrupar ✌💚💜🍫🎨🍯😘  #GTFOofMyWhitehouse  #Traitors  #NazisNOTWelcome  #NOQUARTER4Racist  #NOQUARTER4RacistSympathizers  #ResignORImpeach  #Derelict  #Unfit  #Incompetent   #Rapist   #ImpeachTheMF   G E T  O U T...❗❗❗  GET THEM ALL O U T ❗❗❗.
4490,13,"@haaz1q You didn't get this yet.? Its the #AntiMuslim party going on, nobody want to disturb this."
4491,13,Simply put - @bcci lacks spine #DhoniKeepTheGlove #DhoniKeepsTheGlove #BalidaanBadge #BalidanBadge
4492,7,So does everybody apparently relationships to their EX? And then they go too far to get the exact opposite but that's not okay either? #divorced #douchebag # moving on
4493,1,Enjoying listening to @realDonaldTrump try and backpeddle his comments about accepting foreign help and being a willing participant to #CORRUPTION! #TrumpIsATraitor #trumpcoverup
4494,1,#Shocking #Alabama is allowing #rapist #access to sons! #Victim #mother is being #raped #again by the #system. @cnn @BrookeBCNN #smh #rapedbyuncle
4495,1,KEEP on the Press .. they still won’t publish #IntlOrgCrime news AND Want to keep presenting TRUMP AS VICTIM MEME.. whaddya think about that #metoo @NCADV IS #adulterer #rapist TRUMP the victim in his $1.5Million payment for #Abortion of OWN CHILD conceived on Ivanka lookalike? https://t.co/qrQ0kX4Vax
4496,13,"@robreiner We should start an #ImpeachmentInquiryNow! Congress can get ALL the info and docs they need bc Impeachment Subpoenas can NOT be ignored! Congress needs to show the American ppl that #TrumpIsATraitor, #TrumpIsALiar and  #TrumpIsACriminal! Then Impeachment proceeding can begin!"
4497,13,@WhiteHouse Can someone please pull the insane a$$clown OFF the flag... he’s desecrating it! #FuckTrump    Also:    #HappyJohnMcCainDay2019   https://t.co/q83sFVmwRN
4498,1,Criminalizing Freedom: The Attacks on Abortion Rights and Free Speech in the Age of Trump #Resist #ResistTrump #FuckTrump https://t.co/42381Od2Ty
4499,7,Well then...Maybe Hillary should have sold them more uranium!    #Douchebag https://t.co/jjz90VzLVu
4500,1,When you tell your mom you got into a political altercation with her lifelong friend and had to unfriend them.  My mom is #ShadyAF  #DontMessWithHerGirls  #MyMomRocks  #MyMom  #FuckTrump https://t.co/G5hpTMI37n
4501,1,@Mimirocah1 @SpeakerPelosi @HouseGOP @SenateGOP That’s what @MichaelCohen212 warned us about! #CongressDoYourJob #ImpeachmentinquiryNOW #TrumpIsADisgrace #TrumpIsATraitor #Trump30Hours #LiarInChief #TraitorTrumpVoteHimOut
4502,13,@INCMumbai Tumari sarkar me jaise sab perfect tha? We can see who is blaming more here ! #CongressDoYourJob #CongressMuktBharat #GoToHell 🙏
4503,13,@realDonaldTrump #DesperateDonald Lonely Orange 🤡 #DerangedDonald #TrumpIsACriminal #TrumpIsNotAboveTheLaw #TrumpIsTheEnemyOfThePeople #TrumpIsANationalSecurityThreat #TrumpIsATraitor #ImpeachDonaldTrumpNOW
4504,13,@SpeakerPelosi @RepAdamSchiff OMG! ANNOUNCE THE OPENING OF AN #ImpeachmentInquiry NOW! TRUMP PRESENTS A CLEAR AND PRESENT DANGER TO U.S. DEMOCRACY!!!#TrumpElectionTampering #TrumpObstructedJustice #TrumpIsATraitor #TrumpsWorseThanNixon https://t.co/VXBfJWX6WY
4505,7,@Forever_Carrie @carrieunderwood He is very immature and lacks character. A good man would know how to treat a lady and move on without drama. #Cad #Douchebag #Tool
4506,13,Why is NJ @RepChrisSmith so silent on Trump’s statement that he is still willing to let Russia interfere with our elections? What does Trump have on Smith? #TrumpIsATraitor
4507,13,If Boris can't be bothered to turn up at a debate. Then next general election I can't be bothered to vote for him. #C4debate #BorisJohnsonShouldNotBePM
4508,7,@tbing11 @sjhollar @BrianKolfage @Lrihendry @IngrahamAngle @gehrig38 @StumpforTrump @RyanAFournier @Rambobiggs @holliesmckay @Jim_Jordan Any updates on this pension you think you're paying for me?  #douchebag
4509,13,"@wreckanize @BrendaK8881 @BarbraStreisand Of course she has a NASCAR header, and a red MAGA hat and not one ounce of sense. #IdiotTrump"
4510,7,"Fantastic that #chuckaUmanna does his best to prove politicians aren’t just flakey and out for themselves and have deep,rooted values! #liberaldemocrats #dickhead apparently he’s eyeing up the leadership #couldntmakeitup"
4511,7,IMPEACHMENT HIM FINALLY...........i am sick of seeing and hearing his lies and bullshit-racist-braggings....FUCK TRUMP #FUCKTRUMP https://t.co/WJKIRNXAeK
4512,7,@winlad6 @campbell582000 @toadmeister  #DickHead i prefer #ToryTool 🤓🤓🤓
4513,7,@MidWalesMike @jeremycorbyn Ahh yes. The Tories are responsible for Ford deciding not to make any more engines.  I get it now. #dickhead
4514,13,"@Sir_AhmedRufai Oga Ahmed, I would love if the report you came to gave is that your friend couldn't know what to do with the head of the rapist but you guys are you way to police to hand over the Useless head, you will need all the support to back up what has been done. #RAPIST  must die"
4515,13,"@tictoc Condemn a foreign power who attacked our democracy?🤔🤔🤔 ohhh, you must be talking about Benghazi. You rememember that right Hill? Where 4 Americans were killed while you ignored their requests for help. #STFU #Murderer #NeverForgetBenghazi #DemonstrationMyAss #POS"
4516,1,@BernieSanders Isn’t this the #douchebag @RepKatiePorter had to school regarding #livingwage   I guess beggars can be choosers. #Hypocrisy at its finest
4517,1,Why should tax payers money be used to feed and harbour such nasty dirty criminals??I forbid this order and ask for death to all of them coz am not ready to contribute my tax to feed such people #condemn #rapist #murder#child abuser #justiceforkathua@union law minister of India https://t.co/dDFviVCq6V
4518,13,This gay couple’s neighbor has torched their car &amp; tried to shoot them. Police won’t help them. #Resist #ResistTrump #FuckTrump https://t.co/LQQaKDVrYe
4519,13,Mr. 'No-Collusion' confessed that he thinks Collusion is OK. #TrumpIsATraitor https://t.co/Xshh1cAYBF
4520,13,Trump to America: Who’s Going to Stop Me? #Resist #ResistTrump #FuckTrump https://t.co/Ae3FZK9HhI
4521,1,Where's the garden bridge you piffle laden baboon?  You were an embarrassment to the greatest city in the world.  #BorisJohnsonShouldNotBePM https://t.co/v4DvPURcu6
4522,1,"@Ibne_Sena @MamataOfficial This killer CM must be diagnosed soon before more ppl are harmed. She is protecting 200 Muslim criminals at the expense of 200,000 innocent lives in the state!! Is she insane?!? #DoctorsFightBack"
4528,1,".@realDonaldTrump The time has come to get rid of this #DespicablePieceOfShit. He is inviting #ForeignInterference once again. Remember, when they show you who they are, believe them! #ImpeachTrumpNow #LockHimUp #LockThemAllUp #CorruptGOP #TraitorInChief #TrumpIsATraitor https://t.co/UM3hTPFGCF"
4529,7,@realDonaldTrump @POTUS LET'S GO DOWN YOUR MEMORY LANE! #rapist #TERRORISTTRUMP #NAZITRUMP #PUTINSBITCH #TRAITOR #LiarInChief #DEMENTEDINCHIEF #Predator #justiceForKatie #whereisMaria https://t.co/fUo1tqs3WE
4530,1,"@ESPNcricinfo Is espncricinfo handler Pakistani or aussie, his hatred towards Indian is just too much   Pakistani don't boo they jump with suicide belt and BOOM!!  @SirJadeja   @AskAnshul     #terroristNationPakistan   #boycottespn @espn"
4533,13,"@realDonaldTrump Sir, the only one guilty of TREASON is you. Stop letting Russia run America. Is accepting their bribes more important than DEMOCRACY? Really??    #trumpIsATRAITOR #trumpSoldOutAmerica #trumpCanBeBought #trumpTheRussianAsset"
4534,7,"Hey Gil, by all means, do it again. Just don't risk others. #SN7 #DICKHEAD"
4535,13,Best Rain Dance Party Ever  #ShameOnICC   16 June its Going to be another washout https://t.co/8u7dmSMfnn
4536,1,@SecPompeo @realDonaldTrump ✌💚💜🍫🎨🍯😘  #GTFOofMyWhitehouse  #Traitors  #NazisNOTWelcome  #NOQUARTER4Racist  #NOQUARTER4RacistSympathizers  #ResignORImpeach  #Derelict  #Unfit  #Incompetent   #Rapist   #ImpeachTheMF   G E T  O U T...❗❗❗  GET THEM ALL O U T ❗❗❗.
4537,13,To watch the video https://t.co/wmQWH64k3Q  #rapevictim #victim #rapist https://t.co/aRvxsKaewV
4538,13,"@GOPChairwoman @realDonaldTrump Socialism... as you categorize it, is already here.     #GOPGaslighting   #TrumpIsATraitor https://t.co/hQzuyd5FcI"
4539,13,#BorisJohnson blew off a debate for British prime ministerial candidates. But the empty chair said a lot https://t.co/Q3ExziSysy #BorisJohnsonShouldNotBePM #ToriesOut #ToryLeadershipContest #Brexit #brexitchaos #StopBrexit
4540,13,#IndiaWithDhoni #DhoniKeepsTheGlove   Need of the hour trends and it’s a matter of honour n racist mentality of @ICC rule is rule and rule for all
4541,13,@TheRealOJ32 #OJ you are a #murderer. God is calling you to repentance. You will reap what you have sown. How can you escape damnation? 🔥
4542,13,Thanks a lot Trump! Can't even keep the nba title in the USA. First time ever! #NBAFinals #nba #fucktrump #Game6 #Raptors
4543,13,"@realDonaldTrump @WhiteHouse July 16, 2018 Helsinki, Finland is all the evidence I need....  #tRumpisatraitor https://t.co/hNBCr1E096"
4545,7,@QueenMab87 @billmaher  continues to try sooooo hard to remain relevant. #MSM is the only one who cares #LowRatings #LowIQ #DrugAddict #SexFiend #DoucheBag
4546,7,Voter: Trump's lies don't change my vote #Resist #ResistTrump #FuckTrump https://t.co/VxcPcAjw9D
4547,13,"@realDonaldTrump At this point, I think Trump is just rummaging through a deck of Garbage Pail Kids to come up with nicknames.  Next will be Upchuck Schumer!     #IdiotTrump #ImpeachTrump #LockHimUp"
4548,13,@cricbuzz I'm quite sure that he would be beaten as hell by #MenInBlue   Performing against low profile teams doesnt make him a rockstar    #ICCRaincup2019  #CWC19   #ShameOnICC
4550,7,@knittinglinda @MalcolmNance Part of the Hitler Youth League. What do you expect. #FuckTrump #OrangeFoolius #BeBest #MAGA #AmericaFirst #asshat
4551,13,@TakariSanders @romanminaj225 @AnthonyMWalker If your avi is Cardi then your opinion is automatically invalid. #Rapist
4552,13,Peoples should #respect #women and #girls of any age. They all are also like Mother and sister.  And #Govt should take strict #Action against the #Rapist and should make a law.  #JusticeForGudiya #JusticeForTinkleSharma #JusticeForPayal #JusticeForAll   @narendramodi @sachin_rt https://t.co/pgMiFym9Qd
4553,13,Oh that CombOver 🤣🤣🤣🤣🤣🤣🤣🤣    #EpicFail #IdiotTrump #CombOverTrump https://t.co/m4fdg0hJiK
4554,13,"@realDonaldTrump We all heard tRump say it on television.     #IdTakeIt     So, he didn’t collude but given the chance to collude, he would. On the question posed to him about accepting forign intelligence on an opponent.     “I’d take it.” - Donald J. Trump     @GOP     @realDonaldTrump     #IdiotTrump https://t.co/hGNmD2RVxy"
4555,13,@SenJohnKennedy Anyone who invites anyone else to attack America is a traitor. I think that’s fair. #TrumpIsATraitor  #JohnMCainDay
4556,13,@TheRealOJ32 Go. Away. Stay. Away. #killer #murderer
4557,13,@_REALOJ32 Interesting you have Khloe Kardashian as your Instagram we know she’s your daughter. #Murderer
4558,13,@WEpicenter @ClementoJack @TheTayaValkyrie So they look like you and your 151 followers. #loser #Douchebag #liveswithMaMa
4559,13,A tale of two gloves.    1. #Balidan socked out   #Pakistan and they complained to #ICC    #Chugli wale aaye #INDvsPAK khelne :)    #DhoniKeepsTheGlove  1 match fine worth it :)    2. Another failed a bouncer test.    Kitne aadmi the #Gabbar?  Ek Nile poora :(    Get well soon #ShikharDhawan! https://t.co/v6rWnFdy91
4560,1,"#KellenWinslowII trial: #Guilty of #rape, #indecent #exposure, #lewdconduct https://t.co/jygu6Ii1e2? #convictedrapist #Rapist #Homelesswoman #Homeless #Chargers #sexualharassment #Sexualassault #Sexualmisconduct #Sexabuse #sexassault #sexcrimes #NFL"
4561,1,"@realDonaldTrump Fantastic news, you’re ignoring your child on Father’s Day to golf with the one who kisses your feet the most .@LindseyGrahamSC. He must be delighted to be the favoured one today!    #LockTrumpUp  #ImpeachmentInquiryNow  #ImpeachTrump  #ImpeachBarr  #ImpeachMnuchin  #TrumpIsATraitor"
4565,7,"I think the same thing , always have , because he’s a sore fucken loser whom hasn’t a fucken clue what reality is ....Viva  the  revolution!! #StormTheGates #FuckTrump https://t.co/yTTarUPCI0"
4566,13,@RepAdamSchiff @RepAdamSchiff   A career politican quoting ethics.  Now that is funny.  #ScumBag #douchebag #smalldicksyndrome
4567,7,Murderous douchebag says what now? #murderous #douchebag https://t.co/X7ZrvWzKxe
4568,1,"@realDonaldTrump @OANN LOL 😂.  If it wasn't so PATHETIC... it would be funny that you think you've accomplished so much.  You've accomplished NOTHING... except divide this country !!  You are the absolute WORST one-term, so-called President EVER    #TrumpIsATraitor"
4569,1,"@realDonaldTrump Once thought impossible, The Fake President gets more dishonest and more dangerous every day.    https://t.co/VHoG1CAjL6    #FuckTrump  #ImpeachTrumpPence"
4570,7,"Final award. We all love him but hes our dick of the season. He sulks, he moans and he can play left back. Refuses to run the line and hes massive dick. Wears his cocks with pride. #LGBT #HenDo #DickHead https://t.co/ti1LjiKB9G"
4571,1,"@TheRealOJ32 But you can't physically attack someone on Twitter and lop their head off if they upset you, like you did to #NicoleSimpson. You can't slash and stab here, like you did to #RonGoldman. I'm not sure if this is the place for you  #Murderer  #Liar  #Thief  #DomesticAbuse ends in #Murder"
4572,13,Opinion: The NRA is the Godzilla of swamp monsters #Resist #ResistTrump #FuckTrump https://t.co/ann4Cb8QGk
4573,7,@brianklaas We can only hope and maybe there will be a balloon of @realDonaldTrump wearing a dunce cap! #idiotTrump #MoronInChief.
4574,7,Some record labels 🏷 Owners can kill Talent sha.... Awon #DickHead
4575,1,@TheRealOJ32 DId you find the real killer yet?  Can we get an update on your investigation?  #felon #murderer
4576,1,"@JamesCleverly @Conservatives With an eye on a job in a Johnson cabinet, Cleverly positions himself as a thoroughly decent chap to deflect attention from Johnson’s cowardice which is plain to see. #BorisJohnsonShouldNotBePM #PutRoryThrough"
4577,1,Good Riddance Lyin' Sarah Hucka-bye! You will never be believed again. You're guilty of aiding the #LiarInChief with your own #lies to the American people. Shame on you!     #Trump is a demon! #TrumpIsATraitor  #SarahSanders #trumps 'bigly' mouthpiece     https://t.co/WT0ytoBE2a
4582,1,"BYE BYE @PressSec !!! Leaving a sinking ship I guess LOL, please take @KellyannePolls -- how who is the orange cheeto going to replace with the LIAR @PressSec !!! Another Liar I am going to assume... #fucktrump"
4583,1,"@realDonaldTrump Keep trying to walk back your comments, traitor!  The @GOP @HouseGOP @SenateGOP need to condemn and admonish you.  Enough is enough.  It's time to put country over party and put you behind bars where you and half of your lousy family belong.   #fucktrump #fuckthegop #draintheswamp"
4589,13,@jaketapper Anyone who invites anyone else to attack America is a traitor. #TrumpIsATraitor #JohnMCainDay
4590,1,Someone's Ego Got Butt Hurt!! LMFAO!! #FuckTrump #TrumpIsATraitor #TrumpMustResign #TrumpTantrum https://t.co/QCAjKpr8DM
4594,1,@Hawkermkii @Spice_Gurl21 @MayorHancock @CityofDenver @HRCPDenver ✌💚💜🍫🎨🍯😘  #GTFOofMyWhitehouse  #Traitors  #NazisNOTWelcome  #NOQUARTER4Racist  #NOQUARTER4RacistSympathizers  #ResignORImpeach  #Derelict  #Unfit  #Incompetent   #Rapist   #ImpeachTheMF   G E T  O U T...❗❗❗  GET THEM ALL O U T ❗❗❗. https://t.co/4ZQ7oXu5rs
4595,13,Trump’s Electoral Shenanigans Are Getting Worse #Resist #ResistTrump #FuckTrump https://t.co/4vgRn66fbY
4596,1,"Mamata didi  and her goons are terrorising doctors across the state yet no left leaning self-certified liberals are calling it 'terrorism'.      Remember, the motive is political and target is indiscriminate. That qualifies as terrorism.   #DoctorsProtest #DoctorsFightBack"
4597,13,"@senatemajldr Hey #DitchMitch,  she holds the purse,  good luck get funds for #DerangedDonald 's pet products. Oh and happy #JohnMcCainDay , say  #ByeBye to the  cow  (sorry @DevinCow ) #SarahSandersLied. #JohnMcCainDayJune14 #TrumpIsATraitor #TrumpCrimeFamily #LawlessPresident #TuckFrump"
4598,7,See who funded the #AbortionBan! You may be surprised. https://t.co/VRPVMQ1j3K via @sludge #AbortionRights #FuckTrump
4599,13,#Uyghur Protests in #Canada Part 2: #Freedom for #Uyghurs  https://t.co/6Oib8TjZ9b  #FreeUyghur #EastTurkistan #China #BoycottChina #ウイグル #RT
4600,13,"In #Alabama......#Rapists.... get #Parental rights.     So a teen Raped by their #Rapist, can't get an #Abortion  but they MUST let their #Rapist see the child.    https://t.co/C2aECd6JaL #Auburn #Huntsville #Birmingham  #Montgomery #Tuscaloosa #Florencesc #Dothan #gadsen #OrangeBeach"
4601,13,Happy #JohnMcCainDay everyone!! I will spending it remembering a true hero. #JohnMcCainDayJune14 #ImpeachmentInquiryNow #TrumpIsATraitor #TrumpsAnInternationalDisgrace #TrumpCriminalInvestigations https://t.co/I6vBvZBaQs
4602,13,https://t.co/Hc06lcgMCM's Ali Catterall's take on it all ..    #BollockstoBrexit   #PeoplesVote   #BorisJohnsonShouldNotBePM https://t.co/0fdTYAqjXD
4603,13,@Strandjunker perfect 👌🏼 plus add 100 lbs. #LockHimUp #Traitor #Rapist
4604,13,"@realDonaldTrump Our #FakePresident is more worried about a few stabbings overseas, but is blind to the 100s of deadly shooting in the U.S. every week! Do your job Trump - you are the disaster!!  #TrumpIsAPathologicalLiar   #TrumpIsATraitor #DonaldIsScared"
4605,13,@GovHowardDean #JackieO was an American treasure who inspired millions of Americans and made us proud. Melania is a Russian whore. #Putin's left over.   #TrumpIsATraitor  #JohnMcCainDayJune14  @FLOTUS https://t.co/HxTEMF4Xx8
4606,13,#Mohammadi #toursandtravels #jodhpur #nagour #Rajasthan should be #banned and there #license should be #cancelled .#share #mother #murderer #Saudi_Arabia #India
4607,13,"@MichaelRosenYes @BenjyNtheMonkey Given his track record, hiding is a smart PR tactic. #BorisJohnsonShouldNotBePM https://t.co/QshrtCeDjA"
4608,13,@labourpress Great parliamentary quotes of our times. #BorisJohnsonShouldNotBePM https://t.co/Dj0gj6FPE4
4609,13,@ANI There is a saying .. 'Vinasha kaale viparita buddhi'.  This applies to @MamataOfficial  perfectly.     #WestBengal #DoctorsStrike #DoctorsFightBack #SaveBengal #Savethedoctors
4610,13,Perjury #Investigation Imminent After Transcript Of Interview With Kavanaugh Accusers Is Revealed    #GangRapes #ChristineBlaseyFord #BrettKavanaugh #Rape #Rapist #BrettKavanaughRapist     https://t.co/6aE64RH1Hs
4611,7,"On a flight to Lanzarote , pilot said Wales had won 2-1. It’s all about the bantz with them lads. #dickhead https://t.co/Bss5y44Da9"
4612,13,Great round up of last night's televised debate by @JohnJCrace. Can we say that democracy is dead yet? #C4Debate #Brexit #BorisJohnsonShouldNotBePM    Silence is golden as Boris's lectern wins Tory televised debate | John Crace https://t.co/4j7piqReEh
4613,7,"@CJ_isnowblue @realDonaldTrump working on his final and biggest bankruptcy ever, buhleave me!    #TheBiggestLoser  #TheFattestLoser   #PresidentialFatassment    #FuckTrump before he #FucksUS"
4614,13,@realDonaldTrump @MarshaBlackburn Really only one response to Trump at this point.   TRAITOR  #TraitorTrump  #TrumpsWorseThanNixon   #TrumpFarWorseThanBillClinton  #TrumpSellsAmericaToHighestForeignBidder  #TrumpIsATraitor
4615,13,"Years of hard work to be just worthy of that WHITE COAT.                      Instead of saving the public’s blood, it got stained with MY OWN #SaveTheSaviour  #DoctorsFightBack #TREATUSASHUMANS https://t.co/JSxtxKVIe3"
4616,13,"AIIMS Resident Doctors issue ultimatum to West Bengal government; say if demands not met within 48 hours, they will go on indefinite strike..!! #SaveDoctorsInBengal #JihadiMamta #DoctorsFightBack  @ReallySwara @jigneshmevani80 @VinodDua7 @MamataOfficial https://t.co/K1aOtNU8VA"
4617,7,Good morning my lovelies!  #fucktrump https://t.co/eeqel5PKLs
4618,13,THE #CHURCH #RAPIST has RAPED THE CHILDREN of the WORLD &amp; MURDERED them have EXTORTED THE WEALTH OF THE WORLD WHY DO YOU ALLOW IT?
4619,7,#fucktrump @ White House Washigton DC https://t.co/eoiobtv1wh
4620,7,Almost Father’s Day and all I want is a hug from my dad and I can’t even get that. #fucktrump
4621,7,Ways and Means Committee Chair Doesn’t Want Medicare-for-All Hearing to Mention “Medicare for All” #Resist #ResistTrump #FuckTrump https://t.co/jNLPRWNDU0
4622,13,"Now as a protest,. @msdhoni should wear glows with insignia and pay 25% fine.. all problem solved. #DhoniKeepsTheGlove #ICCWorldCup2019"
4623,13,I think Rain will be top on chart and we can see  it on FINALE  also😂😂 #ShameOnICC https://t.co/N9IvXG8iRq
4624,13,@MattHancock #BorisJohnsonShouldNotBePM   #EVER    No threats to #KILL #BorisJohnson as fabricated by #FTAC     https://t.co/1SRpbCQxUw
4625,13,If baahubali would have played world cup #ShameOnICC https://t.co/osOHqBqRSh
4626,7,2020 Dems call for impeachment over Trump’s election comments #Resist #ResistTrump #FuckTrump https://t.co/eTbm7dTDUw
4627,13,Doctors of west bengal do not wish @MamataOfficial  to meet d injured doctors and she don't care about them as well as do not wish to take action against the accused. #doctors_against_assualt #DoctorsFightBack #doctorsstrike   @Drmanugautam @AIIMSRDA @RDAPunjab @PTI_News @ZeeNews
4628,13,"@realDonaldTrump You sought information from a foreign adversary that was obtained through illegal hacking, different than talking to the Queen.  #TraitorTrump #TrumpIsATraitor #TrumpResign #TrumpMustResign"
4629,13,Doctors in India = Mandir ka ghanta Stop treating us like this   #DoctorsFightBack https://t.co/pGRO3kufAY
4630,13,What I cannot understand is how the GOP continues to turn a blind eye to #TraitorTrump and continue to support him. He admits to illegal actions to win at all costs. The GOP sold their souls when they nominated trump. It's all about making profits. #Resist #TrumpIsATraitor
4631,13,@Flagsareburning @realDonaldTrump He continues to make money off his position in violence of the emoluments clause. And just the other day he said he would break the law in receiving info about a political opponent.     He's a con man and the average American is his mark.    #TrumpIsADisgrace   #TrumpIsATraitor
4632,13,@Priyadoc22 @drharshvardhan #Nonbailable_Offence_12yrsJAIL            Nothing less than this    #DoctorsFightBack   #StopViolenceAgainstDoctors
